mean_sd,r_e_0,r_e_1,r_e_2,r_w_0,r_w_1,r_w_2,r_b_0_0,r_b_0_1,r_b_0_2,r_b_1_0,r_b_1_1,r_b_1_2,r_b_2_0,r_b_2_1,r_b_2_2,r_d_0_0,r_d_0_1,r_d_0_2,r_d_1_0,r_d_1_1,r_d_1_2,r_d_2_0,r_d_2_1,r_d_2_2
mean,-2.861153672278921,-3.161720335242385,-2.9853901386112,-2.776896763232531,-3.1698331189983375,-2.9269382049801096,-3.330911367095524,-2.8507692708764663,-3.2779770433414726,-2.5902602058647166,-2.927392108073569,-2.9688388306581435,-2.6368867141793997,-2.4972536519707385,-2.770164478310131,-3.0563753575072248,-2.724532847231184,-2.825053422285961,-2.807485620902398,-2.5439955145216917,-2.776878741314635,-2.728741829167021,-2.826824981365871,-3.1088149131152014
sd,0.893831388776492,1.356451873367144,1.270361683539558,1.0374432295206046,1.8969475261572635,1.1238230960154585,1.5124628041054915,1.1508931426422018,1.332663498875219,1.0834537784624092,1.2582699969615982,1.1390404393424904,1.0559257370855681,1.2278660218674158,1.3338368533459213,1.4652125423334965,1.254399739957345,1.2442463804200035,1.0259691528419848,0.9072891768511869,1.732973462460489,1.258507500491064,1.021769853486911,1.3037056718183027
