taxa,data
1,0
2,1
4,0
6,0
7,0
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
17,1
18,1
20,0
22,0
23,0
24,1
25,0
26,0
29,0
30,0
31,0
32,0
33,0
34,0
36,1
37,0
38,0
42,0
46,0
48,0
50,0
52,0
53,0
54,1
57,0
58,0
59,0
60,0
61,0
62,0
64,0
65,1
66,1
68,0
69,0
71,0
72,1
73,1
74,0
75,0
76,1
77,1
78,0
79,0
80,0
81,0
82,1
83,1
86,0
87,1
88,0
90,0
91,0
92,0
93,0
94,0
95,1
97,0
99,0
100,0
102,1
103,0
104,0
106,0
107,0
110,0
111,1
115,0
116,0
117,0
118,0
119,1
120,1
122,0
123,0
126,1
127,0
128,1
131,0
134,1
135,0
136,0
138,1
139,0
140,0
141,1
142,0
143,1
144,0
145,1
147,1
148,1
149,1
150,0
153,1
154,1
155,1
156,0
157,0
159,0
160,0
162,0
163,0
164,0
165,0
166,1
167,1
168,0
169,1
170,1
171,1
172,0
173,0
176,0
177,0
178,0
179,0
180,0
181,1
183,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,1
194,0
195,0
196,0
197,0
199,0
200,0
201,1
202,0
204,0
205,0
206,0
207,0
210,0
212,1
218,1
219,0
221,0
222,0
225,0
227,0
229,0
230,0
231,0
232,0
233,1
234,0
235,1
236,1
237,0
238,0
239,1
240,1
241,0
242,1
243,0
244,1
246,0
247,0
248,1
249,1
250,1
252,0
253,0
255,1
257,0
258,0
260,0
261,0
262,1
263,0
266,0
267,1
268,1
269,0
270,0
271,0
272,0
273,0
275,0
276,0
277,1
278,0
279,0
280,0
282,1
283,1
285,1
286,0
287,0
288,0
289,0
290,0
293,1
294,0
296,1
297,0
298,1
299,0
300,0
301,1
302,0
303,1
305,1
307,0
308,0
309,0
310,0
312,1
314,1
316,0
317,0
319,1
320,1
321,1
322,1
323,1
324,1
325,0
326,0
327,0
328,1
329,1
330,0
334,0
335,0
336,0
337,0
340,0
341,0
342,0
343,0
344,0
347,1
348,0
349,0
352,0
353,0
354,0
357,0
358,0
359,0
360,0
361,1
362,1
363,0
364,1
365,1
366,1
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,1
375,1
377,0
378,0
379,1
380,0
381,0
382,0
384,1
385,0
386,0
387,1
388,1
390,0
391,1
393,0
397,0
399,1
401,0
402,0
404,0
405,1
406,1
407,0
408,1
409,0
410,0
413,0
414,0
416,0
417,0
419,0
420,0
422,0
423,1
426,1
427,1
428,1
430,0
432,1
433,0
434,0
439,0
440,0
441,0
442,0
443,0
445,1
446,1
447,0
448,0
449,1
450,1
451,0
452,0
454,0
456,0
458,0
459,0
460,0
461,1
462,1
463,1
465,0
467,0
468,1
469,1
470,0
471,0
472,1
473,1
474,1
475,0
476,0
477,0
478,1
479,1
480,0
481,0
482,0
483,1
484,1
486,0
487,0
489,0
490,0
493,1
494,1
496,1
497,0
498,0
499,1
500,1
502,1
504,0
505,0
506,0
508,0
509,0
510,0
511,0
512,1
513,1
514,0
516,1
517,0
518,0
520,0
521,0
522,0
523,1
524,1
525,0
526,0
527,1
528,1
529,1
530,1
531,0
532,0
533,0
535,0
536,0
537,0
538,0
539,0
540,1
541,1
542,1
543,0
544,0
546,0
547,0
548,0
550,0
551,1
552,1
553,1
554,1
555,1
556,0
557,0
560,1
561,1
562,1
563,1
564,1
565,1
566,1
567,0
568,0
569,0
572,0
574,1
575,0
576,0
577,0
579,0
580,0
581,0
582,0
583,0
584,0
585,1
587,1
591,1
592,0
593,0
594,0
595,1
596,1
598,0
600,0
601,1
602,1
603,0
604,0
606,1
607,1
611,0
612,0
614,0
615,0
617,0
618,0
619,0
620,0
622,0
623,0
624,1
627,0
629,1
630,1
631,1
632,1
633,1
634,0
635,0
637,1
638,1
640,0
641,0
643,0
644,1
646,0
647,0
648,0
649,0
651,0
652,0
653,0
654,0
656,1
657,1
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
