taxa,data
2,1
3,0
5,1
10,1
11,0
22,0
23,1
28,1
29,0
32,0
33,1
37,1
39,1
52,1
56,1
58,1
59,0
60,0
64,0
68,0
74,1
90,1
94,1
106,1
116,0
121,1
124,1
127,0
130,0
131,1
149,0
169,0
177,0
184,0
193,1
194,0
202,0
204,0
205,0
208,1
214,1
231,1
233,0
235,0
241,0
258,1
262,1
263,0
278,0
290,0
296,0
298,0
299,0
304,1
307,0
308,1
309,1
323,1
332,1
336,0
337,1
338,1
340,1
345,1
349,0
353,1
365,1
374,0
377,1
380,1
381,1
387,1
389,0
390,1
395,0
399,0
404,1
406,1
407,0
408,0
423,1
433,0
449,1
455,0
469,1
470,1
489,0
491,1
498,0
500,0
514,0
517,0
521,0
524,0
527,0
528,0
533,0
535,1
540,0
541,1
557,0
564,0
585,0
602,0
605,1
613,0
624,1
625,1
626,0
640,1
641,1
649,1
656,0
658,0
659,0
671,0
698,0
700,0
723,1
725,1
730,0
737,0
740,0
742,0
746,1
747,1
754,0
759,1
762,0
765,1
776,1
785,0
787,0
794,0
805,0
814,0
819,0
829,0
837,0
839,0
842,0
844,1
847,0
851,1
864,0
865,0
880,0
887,1
898,1
907,0
910,0
911,0
913,0
923,1
926,1
929,0
933,0
938,0
947,0
952,1
953,0
963,0
964,0
978,0
981,1
987,1
991,0
1015,1
1025,1
1035,1
1039,0
1047,1
1048,0
1053,1
1059,0
1061,0
1065,0
1068,0
1069,0
1074,0
1076,1
1082,1
1087,1
1097,0
1107,0
1115,1
1120,1
1121,1
1122,0
1128,0
1129,0
1131,0
1136,1
1149,1
1158,1
1159,1
1168,0
1170,0
1188,0
1192,0
1193,0
1194,0
1198,1
1200,1
1207,0
1209,0
1212,1
1213,0
1220,0
1221,0
1225,0
1227,1
1229,1
1235,0
1240,1
1243,0
1248,0
1258,0
1263,1
1265,1
1272,0
1278,0
1292,0
1298,0
1300,1
1302,1
1306,1
1323,1
1324,0
1332,0
1335,0
1337,0
1338,0
1342,0
1352,0
1354,1
1356,1
1358,1
1370,1
1373,0
1375,1
1381,0
1389,0
1394,0
1400,0
1404,0
1406,0
1416,1
1432,1
1436,0
1441,0
1454,1
1458,1
1466,0
1468,0
1473,0
1484,1
1487,0
1488,1
1493,0
1495,0
1499,1
1507,1
1514,0
1516,0
1519,0
1535,1
1536,0
1544,1
1561,0
1579,0
1588,0
1590,0
1596,0
1597,0
1601,1
1602,1
1604,0
1621,1
1625,0
1626,0
1633,1
1654,0
1680,0
1683,0
1686,1
1687,1
1723,0
1742,1
1750,0
1765,0
1770,0
1776,1
1784,0
1789,0
1790,0
1793,1
1798,0
1805,1
1806,1
1808,0
1812,1
1824,1
1834,0
1838,1
1849,1
1850,1
1851,0
1858,1
1864,0
1872,0
1877,0
1883,0
1894,0
1902,0
1903,0
1910,1
1927,1
1933,0
1934,0
1942,0
1946,1
1949,1
1951,0
1952,0
1972,1
1990,0
1993,1
2012,0
2016,0
2017,0
2020,0
2023,0
2024,0
2029,0
2031,0
2048,0
2050,1
2053,1
2063,0
2067,0
2083,1
2084,1
2095,0
2096,0
2102,1
2104,0
2108,1
2110,1
2111,0
2113,1
2114,1
2120,1
2121,0
2125,0
2138,0
2140,0
2143,1
2147,0
2148,1
2152,0
2167,0
2169,0
2175,0
2182,1
2187,0
2192,1
2195,1
2201,0
2206,0
2222,0
2228,1
2229,0
2230,0
2234,1
2237,0
2238,0
2242,1
2247,1
2254,1
2268,1
2276,0
2278,1
2292,1
2299,1
2311,0
2314,1
2318,0
2319,0
2325,0
2334,0
2336,1
2338,0
2339,0
2351,0
2352,0
2357,0
2361,0
2367,0
2370,0
2374,1
2387,1
2388,1
2402,0
2403,0
2405,0
2414,1
2418,1
2425,0
2432,0
2433,0
2437,1
2439,0
2442,0
2448,0
2451,0
2457,0
2468,0
2469,0
2503,1
2506,1
2510,0
2513,0
2522,0
2531,1
2533,0
2537,0
2548,0
2557,0
2561,0
2579,1
2602,0
2604,0
2624,0
2626,0
2645,0
2651,1
2654,0
2667,0
2678,0
2680,1
2681,1
2682,1
2685,1
2687,1
2690,0
2694,0
2695,0
2704,0
2706,0
2710,0
2712,0
2722,1
2729,0
2735,0
2737,0
2753,1
2766,0
2769,1
2772,0
2775,1
2777,0
2779,1
2783,0
2786,0
2795,1
2797,0
2799,1
2801,0
2803,1
2812,0
2819,0
2830,1
2831,1
2837,0
2841,0
2844,0
2857,0
2858,0
2861,0
2865,0
2870,0
2881,0
2888,1
2892,1
2893,0
2896,1
2899,1
2904,1
2917,0
2920,0
2926,0
2937,0
2938,0
2940,0
2941,0
2946,1
2949,0
2953,0
2955,0
