taxa,data
1,1
2,1
3,1
4,0
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,0
16,1
17,0
18,0
19,1
20,0
21,1
22,1
23,0
24,1
25,0
26,0
27,0
28,0
29,1
30,0
31,1
32,1
33,0
34,1
35,1
36,0
37,1
38,1
39,0
40,0
41,1
42,0
43,1
44,1
45,0
46,0
47,1
48,1
49,1
50,1
51,1
52,1
53,0
54,0
55,0
56,1
57,1
58,1
59,0
60,0
61,0
62,0
63,0
64,0
65,1
66,0
67,0
68,1
69,1
70,0
71,1
72,1
73,1
74,0
75,0
76,0
77,1
78,0
79,0
80,0
81,0
82,1
83,1
84,1
85,0
86,0
87,1
88,1
89,0
90,0
91,1
92,1
93,0
94,0
95,1
96,1
97,0
98,0
99,0
100,1
101,1
102,0
103,0
104,1
105,1
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,1
114,1
115,0
116,0
117,0
118,0
119,0
120,0
