taxa,data
1,1
3,0
7,1
11,0
26,0
27,0
28,0
31,1
33,0
38,0
39,0
47,0
52,0
54,0
67,0
76,0
78,0
82,0
92,1
100,1
124,0
133,1
138,0
144,1
145,1
148,1
149,1
150,1
157,0
161,1
165,0
171,0
180,0
186,0
187,0
192,1
195,1
198,0
199,0
202,0
204,1
214,0
216,0
217,0
218,1
220,0
223,0
232,1
235,1
236,0
237,0
238,0
242,1
250,0
268,0
270,1
272,1
278,1
280,1
284,0
286,1
302,1
303,1
315,1
325,0
330,0
336,0
337,0
340,1
347,0
365,1
366,0
370,0
376,0
388,1
393,1
403,0
411,0
423,1
425,0
428,0
429,0
438,1
441,0
445,0
447,0
449,0
453,0
456,0
457,0
460,1
461,0
471,0
472,1
481,0
484,1
505,0
508,0
512,0
530,1
531,1
532,1
534,0
536,0
542,0
547,0
548,1
552,1
553,0
554,0
557,1
566,0
575,0
578,1
579,0
582,1
583,1
584,0
589,1
596,0
605,0
607,0
615,0
616,0
617,0
621,1
622,0
631,1
635,1
648,1
650,1
655,1
656,0
659,0
660,0
661,0
662,1
675,0
684,0
688,0
690,1
697,0
700,1
704,1
708,0
710,0
711,0
713,1
717,1
719,0
721,0
726,0
733,1
734,0
735,1
740,1
743,0
748,0
750,0
753,1
754,1
757,0
759,1
762,0
764,0
769,0
771,0
776,1
780,0
787,0
795,0
801,1
803,1
809,1
815,0
819,0
824,0
830,1
834,0
838,0
844,0
847,0
866,0
867,1
871,0
888,1
889,0
897,0
903,0
907,1
911,1
912,1
915,0
920,0
922,0
924,0
930,0
932,1
935,0
938,1
939,0
940,1
950,0
951,0
952,0
963,0
975,0
983,1
990,0
1001,0
1004,0
1006,0
1007,1
1010,1
1015,1
1019,0
1021,0
1028,1
1029,1
1035,0
1038,0
1039,0
1040,0
1043,0
1044,0
1051,1
1052,1
1057,0
1071,0
1072,0
1075,0
1078,0
1080,0
1082,1
1084,0
1090,1
1091,0
1092,1
1095,0
1099,0
1101,0
1104,1
1106,0
1107,0
1109,1
1115,0
1117,1
1119,0
1124,0
1126,1
1131,0
1134,0
1137,0
1144,0
1147,0
1148,0
1150,0
1152,0
1157,1
1164,1
1171,1
1176,0
1178,0
1181,0
1182,0
1193,1
1194,1
1196,0
1197,0
1202,1
1209,0
1221,0
1227,0
1241,0
1244,0
1246,0
1256,1
1260,0
1261,0
1264,0
1269,1
1274,0
1280,0
1291,1
1295,0
1299,0
1301,1
1306,0
1311,0
1314,0
1315,1
1319,1
1320,0
1323,1
1331,1
1335,1
1336,0
1337,0
1342,0
1345,0
1350,0
1353,0
1357,0
1359,0
1360,0
1362,0
1364,0
1376,0
1390,0
1391,0
1394,0
1403,0
1404,0
1414,0
1416,0
1417,0
1418,0
1421,0
1422,1
1423,1
1427,1
1428,1
1435,1
1437,0
1443,0
1454,0
1459,0
1461,1
1467,0
1474,0
1479,1
1480,0
1482,0
1484,0
1486,1
1493,1
1497,0
1498,0
1501,1
1502,0
1504,1
1505,1
1506,0
1510,1
1512,0
1517,0
1521,0
1523,1
1524,0
1527,0
1535,0
1536,0
1537,0
1538,1
1541,1
1544,0
1548,0
1552,1
1558,0
1561,1
1572,1
1574,1
1578,0
1581,0
1583,0
1584,0
1588,1
1592,0
1596,0
1600,1
1609,0
1612,1
1616,0
1634,0
1643,1
1650,1
1658,0
1665,1
1667,0
1673,0
1676,0
1677,0
1679,0
1681,0
1683,0
1684,0
1688,0
1689,0
1699,0
1703,0
1707,0
1708,0
1710,0
1711,0
1712,0
1714,0
1725,0
1726,0
1728,0
1732,0
1739,0
1753,0
1757,0
1760,0
1762,1
1763,0
1765,0
1769,0
1777,1
1783,0
1789,0
1791,0
1799,1
1801,0
1802,0
1807,1
1810,0
1812,0
1817,0
1822,0
1826,0
1831,0
1834,0
1836,1
1837,1
1843,0
1862,0
1873,0
1877,0
1880,0
1881,0
1882,0
1885,0
1893,0
1894,0
1901,0
1908,0
1909,0
1910,0
1913,1
1919,0
1927,0
1938,0
1939,0
1942,0
1949,0
1952,0
1965,0
1969,0
1974,1
1982,0
1983,0
1984,0
1988,0
2015,0
2019,0
2021,0
2025,0
2026,1
2030,0
2035,0
2043,0
2045,0
2047,0
2051,0
2052,0
2059,0
2070,0
2074,0
2078,0
2085,0
2089,1
2093,0
2096,0
2100,0
2101,0
2102,0
2106,1
2116,0
2122,0
2125,0
2129,0
2133,0
2140,0
2145,0
2150,0
2151,0
2156,0
2169,0
2170,0
2183,0
2185,0
2193,1
2200,0
2206,0
2215,0
2218,0
2223,0
2224,0
2226,0
