taxa,data
1,0
2,1
4,1
8,0
15,1
16,1
17,0
18,0
20,1
26,0
27,1
34,0
50,0
51,1
53,0
54,1
59,0
62,1
66,1
70,1
72,0
73,0
75,1
77,0
79,0
80,0
81,0
82,0
83,0
84,0
93,0
95,1
100,0
104,0
105,0
109,0
110,0
112,1
114,1
115,1
126,0
132,0
133,1
142,0
143,0
144,0
148,0
158,0
163,1
166,1
168,1
171,0
173,0
175,1
178,0
180,0
181,0
182,0
187,0
188,0
189,1
191,0
192,0
193,0
194,0
201,0
202,0
203,1
204,0
205,0
208,0
211,0
213,1
214,0
215,0
218,0
222,0
223,0
231,0
232,0
233,0
234,0
235,0
239,1
240,0
244,0
245,0
247,0
250,0
254,1
258,0
259,1
260,1
263,0
264,0
265,0
266,1
272,0
275,0
278,1
280,0
283,0
284,1
286,0
288,0
290,0
291,0
292,0
294,1
295,0
298,0
300,0
304,0
306,0
309,1
312,0
314,0
316,1
325,1
326,0
327,0
330,0
339,0
340,0
342,1
345,1
350,0
351,0
352,0
353,0
355,1
357,0
358,0
368,0
369,0
370,0
371,1
378,0
380,0
381,0
382,0
383,0
385,0
386,0
388,0
392,0
395,0
396,0
401,0
404,0
409,0
410,0
412,0
416,1
419,0
421,0
423,1
425,0
426,0
427,0
428,0
431,0
435,0
437,0
440,0
443,0
444,0
448,0
449,0
450,0
451,0
452,0
458,0
461,0
462,0
463,0
464,0
466,1
467,0
468,0
470,0
471,0
476,1
487,0
490,0
491,0
494,0
496,0
498,1
500,0
502,0
510,1
511,1
512,0
514,0
516,0
517,0
521,0
522,0
524,1
526,0
529,0
531,0
536,0
537,0
540,0
544,0
545,0
546,0
547,0
551,1
555,0
558,0
561,1
562,1
563,1
565,0
570,0
572,0
575,0
576,1
577,0
579,1
584,0
588,0
591,1
593,0
594,0
598,0
601,0
603,0
610,0
611,0
613,0
615,0
617,0
621,0
624,0
631,0
633,0
634,0
636,1
640,0
643,0
646,0
649,0
652,0
653,0
654,0
660,0
663,0
664,0
667,1
670,0
672,1
675,0
678,0
680,1
681,1
683,0
686,0
687,0
689,0
691,0
696,0
699,0
702,0
704,0
706,1
707,0
709,0
717,0
719,0
720,0
730,0
731,0
732,0
737,0
738,0
739,0
740,1
741,1
743,0
745,0
755,0
756,0
762,0
764,0
765,0
766,0
767,0
768,0
772,1
773,0
776,0
779,0
780,0
784,0
785,0
794,0
803,0
804,0
806,0
809,0
811,0
813,1
814,1
815,0
821,0
823,0
825,0
826,0
830,0
831,0
834,0
835,0
837,0
838,0
839,0
841,0
842,0
846,0
852,1
861,0
862,0
864,0
866,1
867,1
870,0
871,0
874,0
877,0
878,1
879,0
880,0
883,0
885,1
886,1
890,1
892,0
893,0
897,0
898,0
899,0
901,1
902,1
906,1
907,0
913,1
918,0
921,0
924,0
928,0
929,0
931,0
933,0
936,0
939,0
940,0
944,0
946,0
947,0
948,0
953,0
955,0
956,0
959,0
960,0
962,0
964,1
965,0
966,0
967,0
968,0
971,0
974,0
975,0
976,0
979,1
982,0
983,0
989,0
990,0
992,0
994,0
995,0
996,0
998,0
1000,1
1002,0
1003,0
1007,0
1010,1
1013,1
1015,0
1018,0
1022,1
1025,0
1027,0
1034,0
1040,0
1041,1
1042,1
1043,0
1046,0
1049,0
1051,0
1055,0
1057,0
1058,0
1060,0
1064,0
1066,0
1067,0
1073,0
1078,0
1081,0
1084,0
1088,0
1089,0
1092,0
1094,0
1095,0
1096,0
1100,0
1101,0
1102,1
1104,0
1105,0
1106,0
1120,0
1126,0
1128,0
1129,0
1134,0
1135,0
1136,0
1139,0
1146,0
1149,0
1150,0
1158,0
1164,0
1169,0
1178,0
1179,0
1180,0
1182,0
1183,0
1188,1
1189,0
1194,1
1197,0
1201,1
1202,1
1208,0
1212,0
1214,0
1215,0
1217,0
1218,0
1219,0
1220,0
1221,0
1232,1
1237,0
1238,0
1243,0
1244,0
1247,0
1248,0
1249,0
1250,0
1255,0
1257,0
1261,0
1263,0
1265,0
1270,0
1271,0
1272,0
1275,0
1276,0
1278,0
1281,0
1283,0
1285,0
1286,0
1291,0
1293,0
1297,1
1301,0
1303,0
1304,0
1305,0
1306,0
1307,0
1308,0
1310,0
1311,0
