taxa,data
4,1
19,0
26,0
33,0
50,1
53,1
64,1
67,0
68,1
69,1
75,0
78,1
81,0
82,1
87,0
95,1
96,1
103,0
104,1
105,1
117,1
128,1
132,1
134,1
148,1
159,1
179,0
180,1
186,1
188,1
190,1
197,1
215,0
230,1
235,0
238,0
244,1
256,0
272,1
275,1
279,1
298,1
303,0
325,1
337,1
341,0
342,1
349,1
354,0
374,0
376,1
386,1
392,1
405,1
411,1
418,0
424,0
431,1
444,0
461,0
472,1
475,0
478,0
482,0
490,0
496,1
513,1
538,0
548,1
570,1
572,1
583,1
586,1
618,1
629,1
648,1
671,1
674,1
679,1
680,1
687,1
713,0
721,0
727,1
739,0
741,0
742,0
747,0
754,0
771,1
786,0
796,1
803,1
805,1
812,1
813,0
831,1
833,0
834,1
835,1
838,1
871,0
885,1
888,1
902,1
918,1
920,1
925,1
926,1
928,0
936,1
941,1
946,1
949,1
950,0
957,0
964,1
966,0
992,1
1018,0
1020,1
1041,1
1076,0
1079,0
1085,1
1097,1
1113,1
1117,1
1132,1
1133,1
1135,1
1151,0
1156,1
1165,1
1169,1
1182,1
1198,1
1214,1
1227,1
1228,1
1240,1
1243,1
1244,1
1252,1
1254,1
1279,1
1286,1
1290,1
1292,1
1296,0
1312,1
1315,1
1332,0
1335,1
1345,1
1347,1
1352,1
1353,1
1364,0
1385,1
1390,1
1392,1
1394,1
1398,1
1409,0
1417,1
1425,1
1428,1
1433,1
1435,1
1446,0
1450,1
1457,1
1463,1
1473,1
1480,1
1483,1
1493,1
1505,1
1508,1
1511,1
1513,1
1514,1
1515,1
1520,1
1524,1
1526,0
1537,0
1546,1
1550,1
1554,1
1555,1
1559,1
1565,1
1580,1
1586,1
1595,1
1597,1
1600,1
1604,1
1612,1
1628,0
1634,1
1648,0
1659,1
1661,0
1704,0
1708,1
1709,1
1713,1
1729,1
1733,1
1735,1
1741,0
1746,1
1751,1
1784,1
1789,1
1809,1
1815,1
1816,1
1830,1
1841,0
1845,1
1850,0
1864,0
1866,1
1870,0
1872,1
1883,1
1885,1
1890,1
1892,1
1902,1
1904,1
1905,1
1907,0
1909,1
1921,1
1922,1
1930,1
1932,0
1944,1
1955,1
1973,1
1978,1
1994,0
2002,1
2005,0
2009,1
2018,1
2020,1
2027,1
2033,1
2035,1
2047,1
2051,1
2069,0
2077,1
2115,1
2126,1
2130,1
2131,1
2141,0
2159,1
2164,1
2178,1
2193,1
2203,0
2204,0
2221,1
2225,1
2226,1
2231,1
2232,1
2234,1
2263,0
2276,1
2318,1
2326,1
2331,1
2336,1
2339,1
2341,1
2348,1
2351,1
2357,1
2358,1
2378,1
2385,1
2396,1
2408,1
2414,1
2421,1
2422,1
2449,1
2453,1
2462,1
2471,1
2477,0
2479,1
2481,1
2492,0
2495,1
2502,1
2524,1
2527,0
2539,1
2550,1
2551,0
2554,1
2558,1
2567,1
2603,1
2620,1
2621,1
2631,1
2634,1
2640,1
2652,1
2668,1
2679,1
2721,1
2725,1
2737,1
2742,1
2744,0
2746,0
2753,1
2754,1
2758,1
2765,0
2786,1
2798,1
2800,1
2801,0
2804,1
2812,1
2818,1
2838,1
2841,1
2842,1
2861,1
2875,1
2881,1
2883,0
2902,1
2906,1
2908,1
2911,1
2929,1
2935,1
2945,1
2952,0
2961,0
2969,1
2974,1
2977,0
2979,1
2982,1
2983,1
2991,1
3004,1
3009,1
3025,1
3027,1
3037,1
3053,1
3055,0
3073,1
3074,1
3075,0
3076,1
3088,1
3089,1
3092,1
3095,0
3112,1
3118,0
3121,1
3130,1
3133,1
3140,1
3142,1
3144,1
3148,1
3153,1
3165,1
3176,1
3177,1
3180,1
3197,0
3201,0
3202,0
3203,1
3207,0
3237,1
3240,1
3241,1
3247,1
3249,0
3251,1
3258,1
3270,1
3273,0
3274,0
3275,1
3279,1
3280,1
3285,1
3293,1
3300,1
3302,1
3314,1
3337,1
3340,1
3341,1
3350,1
3352,0
3354,1
3355,1
3363,1
3399,1
3403,0
3411,1
3436,1
3439,1
3441,0
3445,1
3446,1
3455,1
3458,1
3473,1
3483,0
3489,1
3491,1
3498,1
3499,1
3502,0
3531,1
3532,1
3538,0
3547,1
3550,1
3555,1
3561,0
3579,1
3597,1
3599,1
3608,0
3618,1
3619,1
3627,1
3631,0
3641,1
3643,1
3651,1
3659,1
3667,1
3670,1
3673,1
3681,1
3691,1
3697,1
3708,1
3748,1
3760,1
3763,1
3764,1
3779,1
3780,1
3793,1
3795,1
3810,1
3812,1
3827,1
3828,1
3844,1
3853,1
3865,1
3866,1
3870,1
3874,1
3890,1
3892,1
3906,1
3914,1
3917,0
3924,1
3925,1
3932,0
3935,1
3936,1
3938,1
3939,1
3942,1
3950,0
3956,0
3957,1
3960,1
