taxa,data
4,1
9,0
11,0
17,1
19,0
26,0
28,0
30,1
33,1
35,0
37,0
38,1
43,0
46,1
47,0
50,1
51,1
52,0
56,0
57,0
58,1
59,0
60,1
62,1
66,1
68,1
69,1
72,1
75,1
77,1
78,1
79,0
80,1
82,1
84,1
87,1
94,1
96,1
97,1
100,1
101,1
103,0
104,1
106,1
108,0
111,1
112,0
113,1
115,1
123,1
124,1
129,1
133,1
135,0
136,0
137,1
140,0
147,1
150,1
153,0
159,1
162,0
163,1
168,1
171,1
174,1
176,1
179,1
181,1
183,1
186,0
187,0
188,1
189,1
190,0
195,1
199,0
200,1
201,1
203,0
204,0
210,0
211,1
212,1
213,1
214,1
215,0
218,0
220,1
222,1
226,1
227,1
228,1
232,1
240,1
241,1
242,0
243,0
244,1
245,0
246,1
247,1
249,0
252,1
254,0
266,0
271,1
272,1
277,1
278,1
279,1
283,0
284,1
286,1
289,1
290,1
291,1
295,0
300,1
302,1
303,1
306,0
307,0
315,1
316,1
319,1
320,1
321,0
323,0
325,1
326,1
328,0
332,1
333,0
339,1
345,0
346,1
351,1
355,1
359,1
365,1
367,0
368,1
370,1
373,1
374,1
376,1
377,1
378,1
381,1
387,1
388,1
389,1
390,1
393,1
394,1
398,0
404,1
409,1
410,0
411,1
414,1
419,1
421,1
423,0
424,0
439,1
441,1
445,0
447,1
448,1
453,1
460,0
462,1
464,1
466,1
467,0
468,1
469,1
471,0
473,1
481,1
484,0
485,0
487,0
488,1
491,1
492,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
507,0
508,1
509,1
515,0
516,1
518,1
522,1
525,1
529,1
533,1
540,1
541,1
544,1
547,1
552,1
556,0
558,0
559,0
561,0
568,1
569,0
571,1
573,0
577,1
578,1
584,0
585,0
587,1
591,1
592,1
593,1
594,0
595,1
596,1
598,1
600,1
602,0
604,1
607,1
608,1
610,1
617,1
619,1
620,1
621,1
627,1
629,1
633,0
634,0
636,0
638,1
639,0
642,0
645,0
646,1
651,1
652,1
653,1
655,1
657,1
662,0
668,0
673,1
674,1
678,1
680,1
681,1
686,0
689,1
690,1
720,0
723,1
728,0
740,1
742,0
744,0
746,1
748,1
754,1
759,0
771,0
776,0
778,1
779,1
781,1
786,0
787,0
788,0
795,1
798,0
799,1
801,1
803,1
805,0
806,1
813,1
814,1
816,0
817,0
820,1
823,0
829,1
830,1
834,1
835,1
836,0
837,0
840,1
842,1
844,0
849,0
851,1
854,1
858,1
861,0
867,1
872,1
876,0
880,1
884,1
886,1
888,0
891,1
894,0
895,0
896,0
897,0
898,1
899,1
902,0
904,1
905,1
906,0
908,1
911,1
913,1
917,1
920,1
923,1
925,1
926,1
927,1
930,1
931,0
932,0
933,0
934,1
938,0
941,1
942,1
943,1
944,1
945,1
947,1
948,1
949,1
953,0
955,0
959,1
961,1
962,1
963,1
964,1
966,1
968,1
973,1
974,1
975,0
977,1
983,0
984,0
985,1
986,1
990,0
1005,0
1006,0
1008,0
1009,0
1010,0
1014,0
1015,1
1019,1
1020,1
1027,0
1028,0
1030,0
1034,1
1037,1
1039,0
1042,1
1046,0
1048,1
1051,1
1052,1
1060,1
1063,1
1064,0
1072,1
1078,1
1080,1
1081,0
1083,1
1086,0
1092,1
1093,1
1096,0
1100,1
1103,1
1105,1
1107,1
1112,1
1114,1
1118,0
1119,1
1121,0
1124,1
1125,1
1128,1
1129,1
1140,1
1141,1
1142,1
1143,1
1147,0
1149,1
1151,1
1152,1
1156,1
1158,1
1159,1
1162,1
1164,1
1172,1
1175,1
1177,1
1179,1
1180,1
1183,1
1185,0
1186,0
1189,0
1190,0
1191,0
1193,1
1196,1
1199,1
1207,1
1209,1
1213,0
1217,0
1218,1
1228,1
1230,0
1235,1
1236,1
1244,1
1245,1
1246,1
1258,0
1263,1
1265,1
1267,0
1268,0
1272,0
1273,0
1275,1
1279,1
1281,1
1282,1
1283,1
1285,1
1287,1
1288,0
1292,0
1295,1
1296,0
1297,0
1300,1
1305,1
1308,1
1311,1
1315,1
1316,0
1317,0
1318,0
1319,0
1323,1
1328,0
1331,1
1335,1
1336,1
1339,1
1340,1
1345,1
1347,1
1348,1
1353,0
1357,0
1360,1
1362,1
1363,1
1367,1
1368,1
