taxa,data
3,1
16,1
32,0
33,0
44,1
45,0
54,1
63,0
69,1
73,0
81,0
85,1
90,0
101,1
107,1
118,1
119,1
122,0
128,0
136,1
147,0
150,0
159,0
164,0
169,1
180,1
186,0
189,0
204,0
212,0
218,0
233,1
242,0
243,0
250,1
251,0
254,1
264,1
268,0
286,0
290,0
297,0
302,1
303,1
307,1
320,1
321,0
323,1
333,1
359,0
369,1
372,0
376,1
382,0
383,0
386,0
395,0
405,1
414,0
446,0
449,1
452,1
455,1
458,1
470,0
483,1
490,0
493,0
498,1
499,1
506,1
513,1
525,0
532,1
538,1
540,1
546,1
557,1
566,0
570,0
574,0
578,1
612,0
623,0
627,0
629,0
637,0
660,0
664,1
670,1
690,0
691,1
697,0
699,1
705,0
708,0
714,0
732,1
750,1
755,0
758,0
767,0
770,1
773,0
776,0
792,0
794,1
798,1
814,0
816,1
860,0
866,0
885,1
888,0
889,0
893,1
899,0
908,0
920,1
921,1
932,0
933,0
939,0
941,0
943,0
960,0
970,1
988,0
995,0
996,0
1002,1
1003,0
1004,1
1012,1
1019,1
1024,0
1026,0
1027,0
1033,0
1042,0
1045,1
1052,0
1062,0
1073,1
1077,0
1083,0
1087,0
1097,0
1109,0
1114,0
1115,0
1130,0
1134,1
1143,0
1154,0
1174,0
1180,1
1181,0
1185,0
1191,0
1197,0
1198,0
1203,0
1223,0
1238,0
1242,0
1256,0
1257,0
1281,1
1306,0
1318,1
1334,0
1338,0
1351,0
1363,0
1378,0
1387,0
1401,1
1406,1
1419,0
1425,0
1427,0
1435,1
1444,0
1457,0
1472,0
1475,0
1477,0
1482,0
1489,0
1493,0
1505,0
1521,1
1524,0
1529,0
1533,0
1534,0
1544,0
1557,1
1559,0
1566,0
1568,1
1574,0
1576,1
1577,0
1608,1
1617,0
1631,1
1639,0
1647,1
1653,0
1662,0
1663,1
1672,1
1676,0
1678,1
1699,0
1703,0
1712,1
1722,0
1726,1
1734,0
1737,1
1746,1
1749,0
1755,1
1760,0
1763,1
1765,0
1773,0
1776,1
1788,1
1789,1
1801,1
1811,0
1833,0
1837,0
1838,0
1854,1
1856,1
1859,1
1872,0
1879,0
1894,0
1899,1
1900,0
1904,0
1907,1
1931,0
1944,0
1963,1
1964,0
1965,1
1976,0
1982,0
1988,1
1990,1
1993,1
1994,0
2000,0
2009,0
2014,1
2015,0
2023,0
2029,0
2033,0
2036,1
2040,1
2057,0
2059,0
2060,1
2066,0
2072,1
2088,1
2091,1
2112,1
2113,1
2145,0
2150,0
2155,1
2160,0
2162,0
2169,0
2181,0
2182,1
2188,0
2190,1
2198,0
2206,1
2212,0
2222,0
2226,0
2229,0
2239,1
2252,1
2278,1
2285,1
2295,1
2299,0
2316,1
2320,0
2326,1
2328,0
2347,0
2351,1
2375,1
2380,0
2382,0
2383,0
2385,1
2395,0
2420,0
2425,0
2433,0
2437,0
2455,1
2465,1
2468,1
2484,0
2493,0
2510,0
2537,1
2541,0
2542,0
2545,0
2561,0
2568,1
2572,0
2578,0
2585,1
2590,0
2598,0
2601,1
2603,0
2606,1
2620,0
2638,1
2642,1
2643,0
2657,0
2662,0
2667,0
2683,0
2689,1
2693,1
2702,1
2705,0
2727,0
2733,0
2738,0
2741,0
2750,0
2763,0
2767,0
2771,0
2781,1
2785,0
2792,0
2810,0
2818,0
2825,0
2838,1
2847,0
2854,0
2855,0
2884,1
2891,1
2896,0
2912,0
2916,0
2927,0
2952,1
2968,0
2975,1
2982,1
2986,0
2995,0
3017,0
3021,0
3022,0
3040,0
3045,0
3058,0
3059,0
3069,0
3077,0
3081,0
3109,0
3112,0
3114,1
3142,1
3146,1
3147,0
3148,0
3152,0
3174,0
3178,0
3186,0
3187,0
3198,0
3206,0
3215,0
3224,0
3229,0
3237,0
3240,1
3249,0
3250,0
3270,0
3278,0
3292,0
3294,0
3299,0
