taxa,data
4,1
37,0
41,1
48,1
57,0
58,0
62,1
96,1
99,0
106,1
119,0
123,1
133,0
146,1
150,0
160,0
164,1
171,1
182,0
196,1
198,0
205,0
213,1
215,1
227,1
242,1
247,0
274,1
280,1
282,1
317,0
326,1
333,1
334,1
337,1
338,1
350,1
351,1
352,1
363,0
373,0
380,0
383,1
389,1
398,1
405,1
410,0
413,0
417,1
429,1
439,1
445,1
447,1
468,1
501,1
507,1
513,1
514,1
517,1
520,0
527,1
531,1
534,1
544,0
545,1
550,1
567,1
568,1
576,1
583,1
591,1
592,0
599,1
602,1
607,1
619,0
645,1
658,1
662,1
666,1
671,0
702,1
707,1
709,0
713,1
719,1
722,0
724,1
727,1
734,1
758,0
779,1
799,1
801,1
805,1
812,0
816,1
820,0
823,1
845,0
859,0
864,0
865,0
867,1
872,1
881,1
885,1
900,0
907,1
912,0
916,1
926,0
937,0
943,1
960,1
973,1
974,1
983,1
992,1
997,0
1002,1
1005,1
1006,1
1015,1
1018,1
1031,1
1047,1
1048,1
1067,1
1074,1
1076,0
1081,1
1090,1
1098,0
1103,1
1107,0
1112,1
1114,1
1121,1
1131,1
1173,1
1223,1
1227,1
1230,0
1239,1
1251,1
1255,1
1259,1
1262,1
1263,1
1265,1
1272,1
1283,1
1284,0
1288,0
1291,1
1298,1
1302,1
1307,0
1313,1
1314,1
1331,0
1332,1
1337,1
1342,1
1345,1
1348,1
1353,1
1364,1
1384,1
1399,1
1404,1
1416,1
1419,0
1427,1
1440,1
1447,1
1457,1
1476,1
1483,0
1496,1
1497,1
1515,0
1516,1
1533,1
1534,1
1550,1
1553,0
1556,0
1561,1
1588,1
1601,1
1607,1
1624,1
1625,1
1627,0
1645,1
1652,1
1660,1
1662,1
1670,1
1681,1
1686,1
1691,1
1703,1
1705,1
1716,0
1724,1
1732,1
1763,1
1771,1
1782,1
1789,0
1796,1
1807,0
1816,1
1826,0
1829,1
1830,1
1834,1
1850,0
1858,1
1859,1
1862,1
1881,0
1882,0
1886,1
1929,1
1933,0
1947,1
1951,1
1965,1
1966,1
1986,1
1998,1
2007,0
2011,0
2032,1
2036,0
2037,1
2046,1
2048,1
2049,0
2051,1
2060,0
2063,1
2068,1
2070,1
2081,1
2083,1
2097,1
2116,1
2119,1
2121,1
2150,0
2159,1
2173,1
2205,1
2209,1
2213,1
2219,1
2227,1
2228,0
2233,1
2234,1
2236,1
2241,1
2242,1
2244,1
2251,0
2257,0
2275,1
2284,1
2285,1
2286,1
2309,1
2350,1
2357,1
2370,0
2375,1
2385,1
2389,1
2392,1
2396,1
2398,1
2409,1
2410,1
2422,1
2431,1
2503,1
2508,1
2511,1
2516,1
2523,1
2536,1
2537,1
2538,1
2539,1
2543,1
2555,1
2563,1
2575,1
2576,1
2578,0
2581,1
2586,1
2600,1
2604,1
2622,1
2641,1
2677,1
2688,1
2711,1
2712,0
2720,1
2757,1
2775,0
2776,0
2790,1
2791,1
2810,1
2823,1
2833,1
2835,0
2837,1
2841,1
2843,1
2849,1
2854,0
2862,1
2867,1
2873,1
2898,1
2902,1
2906,1
2916,1
2919,1
2936,1
2942,1
2954,1
2974,1
3001,1
3012,1
3037,1
3056,1
3058,1
3060,1
3061,1
3069,1
3077,1
3087,1
3096,1
3113,1
3126,1
3144,1
3156,1
3157,1
3158,1
3170,1
3177,1
3207,1
3214,1
3239,1
3244,1
3247,1
3265,0
3267,1
3277,1
3278,0
3287,0
3295,0
3326,1
3354,1
3368,1
3375,1
3385,1
3389,1
3408,0
3420,1
3429,0
3440,0
3444,1
3448,1
3473,1
3479,0
3486,1
3501,1
3503,0
3518,1
3525,1
3531,1
3539,1
3543,0
3552,1
3569,1
3570,1
3583,1
3591,1
3592,0
3603,1
3610,1
3615,1
3618,1
3626,1
3635,1
3638,1
3640,1
3658,1
3660,1
3661,1
3679,1
3684,1
3708,1
3709,1
3720,0
3739,1
3754,1
3758,1
3766,1
3777,1
3780,1
3796,1
3800,1
3812,1
3828,1
3838,1
3865,0
3870,1
3871,1
3908,1
3928,1
3930,1
3938,1
3940,1
3944,1
3959,1
3969,1
3971,1
3978,0
3998,1
4006,1
4013,1
4018,1
4032,1
4036,0
4038,1
4039,1
4049,1
4050,1
4070,1
4071,0
4074,1
4076,1
4081,1
4095,1
4107,1
4129,1
4161,0
4165,1
4186,1
4190,1
4191,1
4200,1
4211,1
4231,1
4240,1
4242,1
4244,1
4248,0
4250,0
4258,1
4268,1
4273,1
4312,1
4313,1
4320,1
4335,1
4341,1
4349,1
4350,1
4358,1
4373,1
4374,1
4396,0
4415,1
4419,1
4434,0
4455,0
4459,1
4482,1
4484,1
4489,1
4526,1
4527,1
4542,1
4549,1
4553,1
4558,1
4567,1
4581,1
