param,i,j,value
w,0,0,0.1968000051
w,1,1,0.1968000051
w,2,2,0.1968000051
e,0,0,0.3052406816
e,1,1,0.3052406816
e,2,2,0.3052406816
d,0,0,0.006747374
d,0,1,0.006747374
d,0,2,0.006747374
d,1,0,0.006747374
d,1,1,0.006747374
d,1,2,0.006747374
d,2,0,0.006747374
d,2,1,0.006747374
d,2,2,0.006747374
b,0,0,0.1024338648
b,0,1,0.1024338648
b,0,2,0.1024338648
b,1,0,0.1024338648
b,1,1,0.1024338648
b,1,2,0.1024338648
b,2,0,0.1024338648
b,2,1,0.1024338648
b,2,2,0.1024338648
x,0,0,0.3052406816
x,1,1,0.3052406816
x,2,2,0.3052406816
