param,i,j,value
w,0,0,0.0259722272
w,1,1,0.0259722272
w,2,2,0.0259722272
e,0,0,0.0218782867
e,1,1,0.0218782867
e,2,2,0.0218782867
d,0,0,0.0513478993
d,0,1,0.0513478993
d,0,2,0.0513478993
d,1,0,0.0513478993
d,1,1,0.0513478993
d,1,2,0.0513478993
d,2,0,0.0513478993
d,2,1,0.0513478993
d,2,2,0.0513478993
b,0,0,0.353743902
b,0,1,0.353743902
b,0,2,0.353743902
b,1,0,0.353743902
b,1,1,0.353743902
b,1,2,0.353743902
b,2,0,0.353743902
b,2,1,0.353743902
b,2,2,0.353743902
x,0,0,0.0218782867
x,1,1,0.0218782867
x,2,2,0.0218782867
