param,i,j,value
w,0,0,0.0459184863
w,1,1,0.0459184863
w,2,2,0.0459184863
e,0,0,0.0538307008
e,1,1,0.0538307008
e,2,2,0.0538307008
d,0,0,0.1122407681
d,0,1,0.1122407681
d,0,2,0.1122407681
d,1,0,0.1122407681
d,1,1,0.1122407681
d,1,2,0.1122407681
d,2,0,0.1122407681
d,2,1,0.1122407681
d,2,2,0.1122407681
b,0,0,0.0228985199
b,0,1,0.0228985199
b,0,2,0.0228985199
b,1,0,0.0228985199
b,1,1,0.0228985199
b,1,2,0.0228985199
b,2,0,0.0228985199
b,2,1,0.0228985199
b,2,2,0.0228985199
x,0,0,0.0538307008
x,1,1,0.0538307008
x,2,2,0.0538307008
