param,i,j,value
w,0,0,0.1382524835
w,1,1,0.1382524835
w,2,2,0.1382524835
e,0,0,0.0183450091
e,1,1,0.0183450091
e,2,2,0.0183450091
d,0,0,0.0602713529
d,0,1,0.0602713529
d,0,2,0.0602713529
d,1,0,0.0602713529
d,1,1,0.0602713529
d,1,2,0.0602713529
d,2,0,0.0602713529
d,2,1,0.0602713529
d,2,2,0.0602713529
b,0,0,0.2679418175
b,0,1,0.2679418175
b,0,2,0.2679418175
b,1,0,0.2679418175
b,1,1,0.2679418175
b,1,2,0.2679418175
b,2,0,0.2679418175
b,2,1,0.2679418175
b,2,2,0.2679418175
x,0,0,0.0183450091
x,1,1,0.0183450091
x,2,2,0.0183450091
