taxa,data
13,0
33,1
45,0
51,1
54,0
66,0
84,0
86,0
89,1
91,1
98,1
114,1
128,0
129,0
142,0
143,0
159,0
163,1
184,1
188,1
196,1
202,1
205,0
207,1
215,1
228,1
235,1
245,1
250,1
252,1
261,1
262,1
273,1
276,1
277,0
284,1
287,0
292,0
294,1
303,0
309,1
313,1
314,1
322,1
325,0
332,1
336,0
377,1
388,1
395,1
464,1
467,1
481,1
487,1
489,1
502,1
505,1
537,1
550,1
557,1
561,1
581,0
588,1
615,1
620,1
621,1
651,1
670,1
685,0
698,0
734,1
748,0
752,1
756,1
757,1
763,1
772,1
773,1
786,1
792,1
799,1
824,1
827,1
842,0
849,0
867,1
869,1
870,1
887,1
889,1
897,1
907,1
939,1
947,1
978,1
980,1
994,1
1007,1
1010,1
1012,1
1018,1
1019,1
1034,0
1050,1
1052,1
1053,1
1057,0
1061,1
1064,1
1072,1
1075,1
1076,1
1089,1
1098,1
1114,1
1123,1
1128,1
1133,1
1147,1
1153,1
1159,1
1160,1
1170,1
1173,1
1175,1
1201,0
1202,1
1210,0
1221,1
1242,1
1243,1
1248,1
1256,1
1258,0
1272,1
1278,1
1288,1
1289,1
1296,1
1309,1
1319,1
1331,1
1336,1
1337,1
1341,0
1364,1
1378,1
1385,1
1387,1
1405,1
1406,1
1412,1
1423,1
1427,1
1433,0
1437,1
1441,1
1460,1
1463,1
1474,1
1475,1
1478,1
1480,1
1485,1
1488,0
1527,1
1534,1
1538,1
1539,1
1542,1
1544,1
1549,1
1554,1
1557,1
1558,1
1562,1
1565,1
1575,1
1585,1
1587,1
1598,1
1603,1
1604,1
1608,1
1634,1
1642,1
1644,1
1650,0
1657,1
1678,1
1679,1
1699,0
1700,1
1707,1
1716,1
1718,1
1719,1
1726,1
1739,1
1761,1
1762,1
1763,1
1764,1
1769,1
1775,1
1792,1
1793,1
1798,1
1830,1
1840,1
1843,1
1847,0
1850,0
1855,1
1863,1
1867,1
1869,1
1872,1
1874,1
1877,1
1891,1
1903,1
1905,1
1918,1
1928,1
1929,1
1931,1
1932,1
1936,1
1939,1
1954,1
1956,0
1964,1
1970,1
1971,1
1976,0
1983,0
1987,1
2001,1
2003,1
2007,1
2029,1
2050,1
2051,1
2055,1
2063,1
2077,1
2095,1
2109,1
2113,1
2127,1
2128,1
2136,1
2147,1
2158,1
2166,1
2170,1
2185,1
2187,1
2192,1
2193,1
2194,1
2196,1
2205,1
2208,1
2213,1
2219,1
2224,1
2232,1
2242,0
2245,1
2279,0
2282,1
2284,1
2289,1
2290,1
2292,0
2296,1
2297,1
2299,1
2302,1
2319,1
2332,1
2335,1
2344,1
2346,0
2349,1
2357,1
2362,1
2363,1
2380,1
2383,1
2391,1
2405,0
2407,1
2420,1
2423,1
2432,1
2436,1
2446,1
2451,1
2457,1
2462,1
2475,1
2478,1
2489,1
2490,1
2493,1
2497,1
2500,1
2512,1
2522,1
2537,1
2539,1
2552,1
2554,1
2560,1
2561,1
2563,1
2574,1
2588,1
2595,1
2608,1
2610,1
2619,1
2627,1
2662,1
2663,1
2666,1
2683,1
2700,1
2724,1
2729,1
2747,1
2762,1
2763,0
2766,1
2779,1
2802,1
2814,1
2820,1
2826,1
2828,1
2830,1
2847,1
2855,1
2861,1
2871,1
2875,1
2887,1
2922,0
2940,0
2951,1
2954,1
2968,1
2976,1
2978,1
2983,1
2988,1
2991,1
3002,1
3013,1
3017,1
3037,1
3052,1
3055,1
3059,1
3084,1
3097,1
3100,1
3102,1
3131,1
3152,1
3177,1
3180,1
3191,1
3192,1
3198,1
3210,1
3212,1
3215,1
3219,1
3229,1
3236,1
3248,1
3259,1
3263,1
3264,1
3270,1
3271,1
3316,0
3318,1
3324,1
3326,1
3353,1
3355,1
3356,1
3359,1
3366,1
3371,1
3374,1
3380,1
3415,1
3426,1
3429,1
3432,1
3434,1
3440,1
3446,1
3463,1
3485,1
3493,1
3497,1
3500,1
3504,1
3513,1
3526,1
3536,1
3539,1
3547,1
3552,0
3557,1
3561,1
3566,1
3575,1
3584,1
3585,1
3595,1
3618,1
3628,0
3646,1
3647,1
3655,1
3659,1
3667,1
3673,1
3685,1
3700,1
3706,1
3712,1
3724,1
3729,1
3734,1
3738,1
3752,1
3767,1
3774,1
3784,1
3789,1
3798,1
3805,1
3817,1
3821,0
3827,1
3831,1
3849,1
3898,1
3915,1
3918,1
3923,1
3925,1
3927,1
3931,1
3935,1
3947,1
3949,1
3956,1
3977,1
3980,1
3990,1
3991,1
3992,1
4005,1
4011,0
4015,1
4022,1
4045,1
4054,1
4058,1
4059,1
4076,1
4091,1
4092,1
4093,1
4094,1
4103,1
4111,1
4118,1
4146,1
4148,1
4155,1
4168,1
4172,1
4176,1
4184,1
4196,1
4204,1
4207,1
4211,1
4212,1
