taxa,data
4,1
12,0
24,0
25,0
26,0
35,0
62,0
66,0
67,0
79,0
85,0
93,0
96,0
107,0
108,0
120,0
125,0
146,0
151,0
152,0
158,0
166,0
185,0
186,0
189,0
190,0
192,0
198,0
207,0
211,0
215,0
218,0
219,0
225,0
230,0
236,0
239,0
240,0
273,0
277,0
281,0
287,0
292,0
293,0
295,0
297,0
306,0
312,0
316,0
317,0
318,0
319,0
333,0
344,0
348,0
351,0
358,0
375,0
377,0
385,0
387,0
389,0
394,0
402,0
403,0
405,0
413,0
414,0
415,0
417,0
418,0
419,0
420,0
428,0
437,0
441,1
442,0
443,0
445,0
451,0
454,0
459,0
460,0
480,0
489,0
499,0
503,1
507,0
508,0
510,0
511,0
512,0
524,0
525,0
526,0
529,0
531,0
539,0
549,0
550,0
556,0
557,0
559,0
565,0
569,0
570,0
572,0
573,0
577,0
579,0
584,0
594,0
610,0
619,0
626,0
629,0
635,0
638,0
660,0
661,0
662,0
666,0
670,0
672,0
709,0
713,0
714,0
715,0
716,0
726,0
732,0
750,0
753,0
766,0
768,1
777,0
779,0
787,0
792,0
794,0
810,0
825,0
828,0
829,0
842,0
854,0
863,0
864,0
865,0
880,0
899,0
908,0
909,0
913,0
917,0
919,0
920,0
928,0
936,0
948,0
953,0
964,0
967,0
972,0
977,0
982,0
986,0
993,0
994,0
995,0
999,0
1011,0
1013,0
1014,1
1016,0
1021,0
1024,0
1029,0
1038,0
1042,0
1047,0
1050,0
1057,0
1062,0
1066,0
1075,0
1078,0
1079,0
1089,0
1092,0
1093,0
1115,0
1133,0
1136,0
1160,0
1163,0
1166,0
1170,0
1178,0
1179,0
1188,0
1190,0
1196,0
1198,0
1200,0
1201,0
1205,0
1224,0
1226,0
1229,0
1230,0
1235,0
1241,0
1246,0
1251,0
1252,0
1255,0
1257,0
1271,0
1272,0
1273,0
1275,0
1279,0
1280,0
1286,0
1287,0
1306,0
1318,0
1329,0
1341,0
1343,0
1347,0
1348,0
1349,0
1354,0
1366,0
1377,0
1378,0
1388,0
1391,0
1393,0
1401,0
1402,0
1403,0
1404,0
1425,0
1427,0
1428,0
1432,0
1433,0
1442,0
1448,0
1451,0
1456,0
1470,0
1472,0
1484,0
1485,0
1510,0
1511,0
1512,0
1526,0
1528,0
1530,0
1535,0
1537,0
1546,0
1547,0
1549,0
1551,0
1555,0
1566,0
1573,0
1577,0
1589,0
1593,0
1595,0
1602,0
1605,0
1609,0
1618,0
1623,0
1627,0
1629,0
1632,0
1641,0
1645,0
1647,0
1651,0
1653,0
1656,0
1664,0
1668,0
1672,0
1673,0
1686,0
1701,0
1712,0
1715,0
1722,0
1730,0
1736,0
1740,0
1741,0
1742,0
1747,0
1753,0
1755,0
1759,0
1760,0
1761,0
1763,0
1776,0
1788,0
1790,0
1799,0
1808,0
1815,0
1819,0
1821,0
1822,0
1833,0
1834,0
1840,0
1842,0
1850,0
1854,0
1856,0
1863,0
1867,0
1871,0
1876,0
1877,0
1880,0
1901,0
1904,0
1905,0
1917,0
1923,0
1930,0
1939,0
1940,0
1941,0
1943,0
1945,0
1946,0
1950,0
1960,0
1962,0
1971,0
1972,0
1979,0
1980,0
1984,0
1988,0
1992,0
1996,0
1999,0
2010,0
2013,0
2015,0
2021,0
2023,0
2024,0
2025,0
2027,0
2032,0
2034,0
2043,0
2047,0
2052,0
2058,0
2076,0
2085,0
2093,0
2101,0
2106,0
2112,0
2122,0
2124,0
2126,0
2130,0
2138,0
2159,0
2166,0
2167,0
2170,0
2178,0
2187,0
2191,0
2193,0
2195,0
2203,0
2205,0
2206,0
2212,0
2230,0
2239,0
2243,0
2245,0
2250,0
2251,0
2266,0
2272,0
2274,0
2278,0
2284,0
2287,0
2301,0
2302,0
2315,0
2323,0
2335,0
2343,0
2347,0
2351,0
2360,0
2366,0
2368,0
2373,0
2383,0
2390,0
2393,0
2398,0
2403,0
2409,0
2412,0
2413,0
2415,0
2434,0
2435,0
2443,0
2459,0
2467,0
2468,0
2469,0
2473,0
2476,0
2477,0
2481,0
2483,0
2488,0
2490,0
2498,0
2502,0
2505,0
2514,0
2517,0
2527,0
2528,0
2531,0
2537,0
2541,0
2543,0
2545,0
2559,0
2560,0
2568,0
2570,0
2572,0
2574,0
2578,0
2587,0
2614,0
2623,0
2629,0
2630,0
2631,0
2637,0
2645,0
2653,0
2654,0
2661,0
2670,0
2675,0
2676,0
2685,0
2705,0
2713,0
2716,0
2725,0
2735,0
2744,0
2753,0
2754,0
2755,0
2756,0
2766,0
2769,0
2772,0
2774,0
2786,0
2789,0
2796,0
2799,0
2801,0
2803,0
2805,0
2810,0
2819,0
