taxa,data
2,1
11,1
20,1
23,1
25,1
27,0
30,0
31,0
35,1
36,1
37,0
38,0
48,0
53,1
62,0
64,0
66,0
73,1
80,0
92,0
96,0
102,0
107,1
110,0
111,1
113,0
123,1
126,0
127,1
132,1
135,1
139,1
143,0
146,1
162,1
163,1
164,1
170,1
173,0
192,1
199,1
200,1
201,1
202,0
204,1
208,0
217,1
222,1
224,1
225,0
226,1
233,1
235,1
239,1
241,1
243,1
244,1
246,1
253,0
255,1
260,1
263,1
264,1
267,0
272,1
276,1
277,1
278,1
280,1
281,0
284,1
290,0
303,1
304,1
306,1
307,1
312,0
316,1
317,0
318,1
320,1
323,0
324,1
330,1
332,0
339,1
346,1
347,1
348,1
350,1
366,0
377,0
378,1
381,1
388,1
389,1
394,1
401,1
408,1
409,1
412,1
418,1
432,0
435,1
440,1
446,1
455,0
459,1
477,0
478,0
481,1
483,1
484,1
485,1
495,1
500,0
502,1
509,0
511,0
513,0
515,1
519,1
525,1
527,0
530,0
531,1
538,1
541,0
545,1
553,1
556,1
559,1
561,1
571,1
583,1
584,1
585,1
589,0
590,1
594,1
602,1
603,1
607,1
609,0
617,0
619,1
621,0
628,1
629,1
632,1
633,0
636,1
639,1
641,0
642,1
643,1
645,1
647,1
651,1
653,1
657,0
660,0
667,1
670,1
672,1
680,1
682,0
683,0
684,1
685,0
689,1
691,1
693,1
697,1
706,1
708,1
713,1
716,0
717,0
723,0
726,1
728,1
732,1
733,1
737,0
744,1
747,1
750,0
754,1
757,1
765,0
767,1
772,1
773,0
774,0
780,1
782,1
793,1
801,1
805,0
806,1
808,0
809,1
810,1
811,1
815,0
824,1
826,1
834,1
836,1
854,1
859,1
860,1
866,0
871,1
872,1
883,0
886,1
888,0
890,0
894,1
899,1
901,1
910,1
911,1
914,1
916,0
920,1
921,1
924,1
934,1
935,1
936,1
937,1
939,1
940,0
947,1
950,0
964,1
968,1
971,1
973,1
980,1
985,0
991,1
993,1
995,1
997,0
998,1
999,1
1000,0
1002,1
1003,1
1008,1
1017,0
1020,1
1024,1
1029,0
1031,1
1032,1
1033,1
1037,1
1039,0
1041,0
1047,1
1050,1
1051,1
1057,1
1060,0
1062,0
1065,1
1069,1
1073,1
1080,1
1081,1
1085,1
1093,1
1096,1
1098,1
1100,1
1102,1
1104,0
1109,1
1117,1
1124,0
1128,1
1132,1
1133,0
1141,0
1143,1
1148,1
1149,1
1156,0
1157,1
1163,0
1164,0
1165,0
1168,1
1170,1
1175,1
1179,1
1187,1
1189,1
1196,1
1199,0
1200,0
1206,0
1208,1
1211,1
1213,0
1215,1
1217,0
1220,1
1223,1
1224,1
1226,1
1227,1
1228,1
1230,1
1235,1
1242,0
1251,1
1253,1
1254,1
1259,1
1263,0
1264,0
1266,0
1267,0
1268,0
1269,1
1272,0
1276,1
1279,0
1285,1
1286,1
1287,1
1296,0
1309,1
1312,1
1314,1
1315,1
1320,1
1325,1
1326,1
1332,1
1334,1
1335,1
1337,1
1345,0
1350,1
1353,1
1354,1
1356,0
1357,0
1359,1
1360,1
1364,0
1367,1
1374,1
1376,0
1381,1
1385,1
1388,1
1391,0
1392,0
1394,1
1399,1
1400,1
1411,1
1413,1
1414,1
1417,1
1425,1
1427,1
1430,0
1434,1
1437,0
1443,0
1447,1
1448,0
1449,0
1456,1
1457,1
1460,1
1467,0
1468,0
1470,0
1474,1
1479,1
1486,0
1489,1
1499,0
1501,1
1503,1
1504,1
1508,1
1513,1
1514,1
1515,1
1516,1
1520,1
1523,0
1526,1
1529,1
1532,1
1534,0
1535,0
1537,1
1540,0
1542,1
1543,1
1544,1
1545,1
1546,1
1549,0
1556,1
1558,1
1561,1
1562,1
1568,1
1569,1
1574,1
1578,1
1580,1
1581,1
1582,1
1586,0
1587,0
1591,1
1594,1
1605,0
1606,1
1609,1
1612,1
1625,1
1632,1
1633,1
1638,0
1644,1
1647,0
1656,0
1659,1
1666,1
1668,1
1671,1
1677,1
1686,1
1695,1
1696,1
1698,1
1706,1
1707,1
1709,1
1720,0
1728,1
1731,1
1749,1
1750,1
1753,1
1754,1
1767,1
1769,1
1770,0
1777,1
1778,1
1782,1
1790,1
1794,0
1800,1
1802,0
1803,0
1805,1
1807,1
1812,1
1817,1
1821,1
1827,1
1829,1
1836,1
1847,1
1853,0
1863,1
1868,1
1871,1
1873,1
1877,1
1879,1
1902,1
1916,1
1917,0
1920,1
1923,1
1928,1
1931,1
1933,1
1935,0
1936,0
1939,0
1940,0
