taxa,data
8,1
10,0
19,1
20,1
21,0
29,0
39,0
41,0
45,0
52,1
57,0
58,1
59,1
69,1
77,1
90,1
91,0
93,0
94,0
100,1
104,0
110,0
124,1
129,1
132,0
138,0
144,0
158,0
164,1
166,0
173,1
174,0
181,0
198,1
207,1
215,0
227,0
232,0
233,1
242,1
248,0
260,1
265,0
278,0
286,1
298,0
312,1
314,1
324,1
328,0
329,1
330,1
344,1
347,1
348,0
352,0
359,0
364,0
366,1
384,1
395,1
399,0
408,1
410,0
424,0
426,0
429,0
431,1
446,1
451,1
458,0
465,0
469,1
473,0
483,1
488,0
490,1
492,0
515,1
520,1
525,0
526,0
529,0
549,0
567,1
570,0
582,1
583,0
586,0
601,0
610,0
612,0
616,1
623,0
635,0
637,1
639,0
656,0
666,1
669,0
688,1
691,0
692,1
696,1
698,0
702,0
704,0
709,0
711,0
725,0
735,1
739,0
740,0
745,0
747,1
754,0
762,0
767,0
772,1
777,1
783,0
786,1
793,1
794,1
795,0
815,0
817,0
819,0
836,0
845,0
848,1
852,1
853,1
858,1
860,1
862,1
864,0
871,1
874,1
878,0
881,0
894,0
898,0
900,1
902,1
908,0
920,0
924,0
928,0
932,1
935,1
944,0
945,0
953,0
962,0
964,0
967,1
976,0
979,0
985,1
989,1
990,1
991,0
998,0
1019,1
1020,0
1043,1
1045,0
1046,1
1051,0
1056,1
1058,0
1072,1
1079,0
1080,1
1083,1
1084,0
1089,0
1091,0
1092,0
1097,1
1100,1
1110,1
1112,1
1120,1
1138,1
1163,0
1166,1
1167,1
1170,0
1171,0
1172,0
1174,1
1177,0
1198,1
1203,1
1210,0
1213,1
1216,0
1223,1
1253,0
1270,0
1272,1
1278,1
1300,0
1301,0
1317,0
1321,0
1322,0
1323,1
1324,1
1335,0
1348,0
1350,1
1353,0
1373,1
1387,0
1396,1
1398,0
1410,0
1413,0
1421,0
1423,0
1424,0
1433,1
1434,0
1440,0
1441,1
1446,0
1447,0
1448,0
1455,0
1460,1
1471,1
1479,0
1483,1
1485,0
1487,0
1491,1
1494,0
1499,1
1500,1
1501,1
1502,0
1504,1
1508,0
1512,1
1513,0
1516,0
1519,1
1522,0
1531,0
1538,1
1542,0
1545,0
1548,0
1549,1
1550,0
1552,0
1553,1
1557,1
1558,1
1562,0
1563,0
1567,0
1574,0
1581,0
1587,1
1590,1
1593,1
1634,0
1649,1
1657,1
1658,1
1661,0
1673,1
1691,0
1697,0
1703,0
1704,0
1705,1
1707,1
1714,0
1725,0
1739,0
1744,0
1745,0
1764,0
1769,1
1780,1
1782,1
1785,0
1789,1
1791,0
1799,0
1823,1
1828,0
1830,0
1832,1
1852,0
1856,0
1858,1
1865,0
1868,0
1878,1
1891,0
1892,1
1897,0
1901,1
1905,0
1916,1
1917,1
1921,1
1927,0
1930,0
1936,1
1941,1
1947,1
1950,1
1957,1
1958,1
1961,1
1963,0
1965,1
1983,1
1986,0
1995,0
2004,0
2005,0
2009,1
2012,1
2017,0
2021,1
2034,0
2035,1
2045,0
2047,0
2053,0
2059,0
2063,1
2084,0
2089,0
2100,1
2101,1
2102,1
2103,1
2109,1
2119,1
2125,0
2129,0
2131,0
2135,1
2136,1
2158,1
2164,1
2168,0
2193,1
2194,1
2195,0
2197,0
2199,1
2203,0
2212,0
2214,1
2216,0
2219,0
2230,0
2234,1
2236,1
2247,0
2250,0
2251,1
2252,0
2253,0
2257,1
2266,1
2280,1
2290,0
2296,1
2298,1
2327,0
2331,0
2336,1
2343,1
2358,0
2363,0
2371,0
2373,0
2385,0
2390,0
2398,0
2400,0
2409,1
2412,0
2413,0
2422,1
2429,0
2435,0
2443,0
2450,0
2459,1
2460,1
2466,0
2471,0
2473,1
2475,0
2478,0
2479,0
2486,1
2489,0
2492,1
2495,0
2496,0
2502,1
2520,1
2521,0
2523,0
2525,0
2526,0
2550,0
2558,0
2563,1
2564,1
2578,0
2581,1
2585,0
2589,0
2607,0
2610,0
2618,0
2634,0
2640,0
2648,1
2657,0
2659,1
2661,1
2666,1
2667,0
2668,0
2669,0
2675,0
2687,1
2691,0
2693,0
2709,0
2715,0
2720,0
2722,0
2728,0
2729,0
2731,0
2735,1
2758,1
2781,0
2786,1
2788,0
2797,0
2808,0
2812,0
2815,0
2819,1
2831,1
2835,0
2836,0
2837,1
2838,1
2842,0
2849,0
2858,1
2860,1
2861,0
2866,1
2867,0
2868,0
2869,0
2873,1
2882,0
2885,1
2896,1
2897,1
2898,1
2899,1
2905,0
2906,0
2912,1
2915,0
2919,0
2930,1
2932,0
2938,1
2955,0
2957,0
2977,1
2982,0
2984,1
2985,1
2996,0
3004,0
3005,0
3006,0
