taxa,data
8,1
11,0
21,1
36,1
59,1
61,1
68,1
74,0
87,1
91,1
94,1
101,1
111,1
117,1
135,1
144,1
149,0
154,1
155,1
166,1
176,1
180,1
186,1
192,1
204,0
212,1
213,1
214,1
219,1
231,1
252,1
273,1
281,1
297,0
336,1
345,1
348,1
361,0
405,1
412,1
416,1
431,1
435,1
451,1
460,1
461,1
472,1
477,1
484,1
485,1
486,1
496,1
501,1
503,0
509,1
524,1
535,1
541,1
550,1
559,1
572,1
579,1
587,1
591,1
596,1
620,1
626,1
629,1
638,1
645,1
647,1
656,1
659,1
660,1
663,1
667,1
668,1
671,1
684,1
688,1
690,1
696,0
709,1
711,1
712,1
717,1
731,1
741,1
743,1
761,1
777,1
792,1
794,1
809,1
814,1
820,1
821,1
836,1
841,1
855,1
858,1
863,1
866,1
867,1
873,1
875,1
889,0
893,1
897,1
899,1
902,1
906,1
913,1
914,0
928,1
930,1
938,1
957,1
960,1
967,1
980,1
982,1
991,1
999,1
1028,1
1030,1
1033,1
1050,1
1054,1
1057,1
1071,1
1073,1
1076,1
1079,1
1085,1
1089,1
1093,1
1094,1
1111,1
1114,1
1124,1
1125,1
1167,1
1171,1
1181,1
1192,1
1200,1
1203,1
1214,1
1217,1
1218,1
1220,1
1230,1
1231,1
1234,1
1242,1
1243,1
1247,1
1261,1
1268,1
1282,1
1297,1
1299,1
1300,1
1302,1
1305,1
1315,1
1323,1
1331,0
1333,1
1350,1
1352,1
1359,1
1370,1
1375,1
1378,1
1397,0
1398,1
1399,1
1402,1
1418,1
1428,1
1456,1
1458,1
1494,1
1498,1
1499,1
1503,1
1514,1
1519,1
1524,0
1531,0
1538,1
1541,1
1548,1
1556,1
1560,1
1576,1
1580,1
1584,1
1594,1
1605,1
1609,1
1613,1
1615,1
1618,1
1631,1
1632,1
1647,1
1654,1
1672,0
1687,1
1698,1
1699,1
1700,1
1708,1
1712,1
1726,1
1736,0
1740,1
1750,1
1752,1
1754,1
1758,1
1759,1
1763,1
1766,1
1767,1
1768,1
1774,1
1779,1
1795,1
1797,1
1817,1
1819,1
1823,1
1824,1
1826,1
1828,1
1838,1
1845,1
1846,0
1847,1
1853,1
1862,1
1876,0
1879,1
1886,1
1889,1
1896,1
1899,1
1900,1
1904,1
1911,1
1920,1
1927,1
1934,0
1938,1
1940,1
1941,1
1946,1
1953,1
1954,1
1955,1
1958,1
1961,1
1963,1
1983,1
1989,1
1998,1
2001,1
2007,1
2015,1
2023,1
2024,1
2028,1
2030,1
2035,0
2038,1
2045,0
2048,1
2053,1
2056,0
2082,1
2086,1
2101,1
2112,1
2118,1
2142,1
2164,1
2174,1
2175,0
2186,1
2200,1
2209,1
2213,1
2215,1
2221,1
2225,1
2226,1
2233,1
2237,1
2240,1
2246,1
2254,1
2268,1
2273,1
2283,1
2303,1
2309,1
2318,1
2332,1
2338,1
2343,1
2345,1
2357,1
2380,1
2392,1
2398,1
2400,1
2405,1
2406,1
2408,1
2416,0
2419,1
2426,1
2427,1
2428,1
2434,1
2441,1
2453,0
2454,0
2458,1
2468,1
2472,1
2474,1
2475,1
2479,1
2485,1
2499,1
2500,1
2520,1
2523,1
2525,1
2532,1
2534,1
2538,1
2543,1
2544,1
2549,1
2550,1
2555,1
2556,1
2562,1
2563,1
2565,1
2569,0
2570,0
2571,1
2576,1
2577,1
2588,1
2612,1
2613,1
2619,1
2623,1
2652,1
2654,1
2656,1
2658,1
2659,1
2660,1
2671,1
2681,1
2736,1
2744,1
2745,1
2748,1
2750,1
2756,1
2757,1
2759,1
2760,0
2777,1
2779,1
2790,0
2795,1
2808,1
2810,1
2816,1
2828,1
2829,1
2832,1
2837,1
2845,1
2847,1
2849,1
2860,1
2862,1
2866,1
2891,1
2894,1
2897,1
2909,1
2915,1
2916,1
2917,1
2919,1
2920,1
2921,1
2930,1
2943,1
2950,1
2951,1
2953,1
2955,1
2958,1
2964,1
2968,1
2972,1
2983,1
2984,1
2985,1
2989,1
2994,1
3002,1
3010,1
3021,1
3031,1
3037,1
3041,1
3043,1
3044,1
3048,1
3053,1
3061,1
3062,1
3066,1
3070,1
3079,1
3081,1
3085,1
3089,1
3092,1
3106,1
3110,1
3111,1
3115,1
3122,1
3131,1
3133,1
3136,0
3142,1
3143,1
3148,1
3163,1
3165,1
3176,1
3177,1
3179,1
3187,1
3190,1
3191,1
3199,1
3226,1
3227,1
3230,1
3240,1
3250,1
3251,1
3260,0
3262,1
3263,1
3264,1
3274,1
3275,1
3280,1
3282,1
3283,1
3288,1
3308,1
3320,1
3321,1
3328,1
3329,1
3346,1
3350,1
3359,1
3364,1
3372,1
3379,1
3387,1
3388,1
3395,1
3409,1
3429,1
3437,0
3476,1
3478,1
3484,1
