taxa,data
20,0
45,1
46,1
52,1
69,1
73,1
81,1
90,1
96,1
110,1
124,1
125,1
127,1
128,0
144,1
146,1
151,0
152,1
156,0
162,1
168,0
174,1
195,0
197,1
203,0
215,1
221,1
227,0
230,1
234,1
240,1
266,0
272,1
281,1
293,0
324,1
325,1
328,0
331,1
350,1
360,0
377,1
404,1
409,1
446,1
469,1
483,1
486,1
488,1
490,1
499,1
506,1
515,1
528,1
538,0
540,1
548,1
552,1
556,1
566,1
570,1
571,1
578,1
590,1
599,1
600,1
601,1
606,1
615,1
619,1
622,1
628,1
630,1
635,1
644,1
654,1
677,1
681,0
685,1
687,1
699,1
706,1
710,1
713,1
735,1
743,0
755,1
756,1
765,1
769,1
773,1
782,1
790,1
801,1
803,1
817,0
830,1
837,1
843,1
848,1
866,1
872,1
873,1
891,1
914,1
936,0
943,1
948,1
955,1
966,1
967,1
974,1
983,1
994,1
998,1
1004,0
1009,1
1027,1
1031,1
1041,1
1045,1
1049,1
1068,1
1106,1
1107,1
1123,0
1131,1
1143,1
1144,1
1147,1
1154,0
1160,1
1162,1
1200,1
1210,0
1228,1
1235,1
1258,1
1261,1
1262,1
1263,1
1272,1
1277,1
1294,1
1299,1
1302,1
1304,1
1307,1
1322,1
1346,0
1351,1
1353,1
1357,1
1362,1
1365,1
1369,1
1371,1
1373,1
1374,1
1389,1
1395,1
1401,0
1414,1
1426,0
1434,1
1439,1
1458,1
1475,0
1483,0
1487,0
1501,1
1503,1
1511,0
1522,1
1524,1
1532,0
1550,0
1552,1
1556,0
1559,1
1566,1
1571,1
1579,0
1586,1
1593,1
1610,1
1612,1
1614,1
1626,1
1627,1
1628,1
1629,1
1635,1
1636,0
1637,1
1644,1
1645,1
1659,1
1663,1
1673,0
1683,1
1691,1
1709,1
1722,0
1727,0
1733,1
1738,1
1743,0
1746,1
1751,1
1756,1
1760,1
1765,0
1800,1
1806,1
1809,1
1814,1
1816,1
1845,1
1846,1
1848,1
1854,1
1857,1
1860,1
1863,0
1872,1
1877,1
1880,0
1883,1
1887,1
1892,1
1896,1
1910,1
1917,1
1918,1
1924,1
1928,1
1930,1
1931,1
1942,1
1948,1
1951,1
1958,1
1960,1
1978,1
1984,1
1993,1
2027,1
2034,1
2035,1
2036,1
2046,0
2051,1
2059,1
2063,1
2066,1
2080,1
2094,1
2099,1
2110,1
2126,1
2127,1
2130,1
2133,1
2142,1
2143,1
2146,1
2149,1
2150,1
2162,1
2200,1
2203,1
2219,1
2221,1
2229,1
2232,1
2238,1
2240,1
2244,1
2261,1
2268,1
2272,1
2278,1
2286,1
2308,1
2309,1
2312,1
2316,1
2326,1
2339,1
2343,1
2351,1
2353,1
2355,1
2356,1
2361,1
2365,1
2368,1
2390,1
2397,0
2405,1
2407,0
2410,1
2413,1
2418,1
2423,1
2451,1
2455,1
2463,1
2476,0
2487,1
2500,1
2511,1
2515,1
2516,1
2524,0
2531,1
2545,1
2613,1
2616,1
2628,1
2640,1
2641,1
2645,1
2660,1
2664,1
2675,1
2678,1
2688,1
2689,1
2692,1
2693,1
2730,1
2739,0
2757,1
2771,1
2823,1
2829,1
2851,1
2862,0
2871,1
2888,0
2889,0
2890,1
2898,1
2906,1
2916,0
2966,1
2972,0
2992,1
2998,1
3001,1
3002,1
3019,1
3024,1
3030,1
3039,1
3043,1
3045,0
3046,1
3048,1
3061,1
3072,1
3073,1
3082,1
3092,1
3096,1
3120,1
3126,0
3141,1
3148,0
3157,1
3166,1
3180,0
3192,1
3195,1
3215,1
3222,0
3239,0
3244,1
3251,1
3259,1
3272,1
3277,1
3279,1
3280,1
3285,1
3295,1
3301,1
3319,1
3324,0
3325,0
3334,1
3342,1
3348,1
3351,1
3353,0
3354,1
3362,1
3370,1
3385,1
3390,1
3391,1
3413,1
3417,1
3429,1
3431,1
3439,1
3445,1
3449,1
3459,1
3461,0
3469,1
3473,1
3477,1
3484,1
3491,1
3493,1
3511,1
3519,1
3521,1
3522,1
3526,1
3528,1
3533,1
3544,1
3546,0
3551,1
3554,1
3564,1
3565,1
3571,1
3573,1
3587,1
3589,0
3609,1
3623,1
3624,1
3638,1
3643,0
3656,1
3658,1
3683,1
3688,1
3694,1
3695,1
3698,1
3703,1
3704,1
3705,1
3737,1
3740,1
3747,1
3755,1
3766,1
3775,1
3788,1
3844,1
3855,1
3862,1
3888,1
3903,1
3907,0
3923,1
3928,1
3930,1
3940,1
3944,1
3947,1
3948,1
3950,1
3954,1
3956,1
3964,1
3969,1
3970,1
3983,1
3984,1
3992,1
4034,1
4035,1
4046,1
4068,1
4070,1
4076,1
4098,1
4103,1
4114,1
4122,1
4145,1
4151,0
4166,1
4167,1
4172,1
4176,1
4184,1
4187,1
4191,1
4204,1
4206,1
