taxa,data
10,1
16,0
31,1
33,1
37,1
46,1
51,1
57,1
68,1
72,1
74,1
89,1
99,1
106,1
113,1
117,1
126,0
142,1
145,1
148,0
156,1
165,1
170,0
182,1
184,1
202,1
210,0
212,1
226,0
228,1
232,1
239,1
240,1
241,0
244,1
246,1
256,1
258,1
259,1
272,1
273,1
277,1
284,0
291,1
306,1
308,1
327,0
332,1
348,1
352,0
360,1
368,1
371,1
376,1
377,1
380,1
381,0
389,1
398,0
401,1
419,1
430,1
448,1
452,1
461,1
469,1
473,1
477,1
489,0
502,1
505,1
506,0
511,0
513,1
515,1
517,0
523,1
555,1
559,1
562,1
570,1
572,0
577,0
578,0
598,0
601,1
602,1
603,1
604,0
606,0
608,1
609,1
626,0
638,1
641,1
642,0
646,1
648,1
659,1
660,1
673,1
682,0
683,1
684,0
686,0
689,0
691,1
697,1
708,0
710,1
713,0
715,1
721,1
723,1
724,1
726,1
729,0
745,0
752,0
761,0
766,1
771,1
778,1
783,1
788,1
807,0
808,0
811,1
813,1
820,1
833,1
836,0
842,1
843,0
846,1
848,1
855,0
858,1
867,1
872,1
883,1
887,1
894,0
908,0
910,1
916,1
920,1
923,1
929,1
933,0
936,1
952,0
955,1
971,1
977,0
983,1
988,1
993,1
1001,1
1002,1
1004,1
1005,1
1008,0
1013,0
1015,0
1021,1
1022,1
1035,0
1036,0
1061,0
1079,1
1089,1
1090,0
1103,0
1106,1
1108,0
1109,1
1114,1
1115,1
1116,1
1119,1
1123,1
1128,1
1133,0
1143,0
1152,1
1157,1
1162,0
1164,1
1166,1
1171,1
1178,0
1184,0
1185,0
1186,1
1190,1
1195,1
1197,0
1200,1
1209,1
1210,0
1214,1
1215,0
1216,0
1218,1
1219,1
1221,1
1223,1
1235,1
1236,1
1241,0
1259,0
1264,1
1271,1
1275,0
1277,0
1280,1
1303,1
1305,1
1308,0
1310,0
1311,0
1321,0
1331,0
1332,0
1334,0
1340,1
1344,1
1347,0
1352,1
1357,1
1365,1
1375,1
1405,1
1407,1
1413,1
1414,0
1419,1
1422,1
1448,0
1450,1
1459,0
1474,1
1479,1
1483,0
1491,1
1509,0
1518,1
1535,1
1538,1
1551,0
1558,0
1560,1
1574,1
1575,1
1579,1
1581,1
1582,1
1583,1
1584,1
1587,0
1593,0
1594,1
1598,1
1614,1
1621,0
1638,1
1664,0
1668,1
1679,0
1684,0
1691,1
1693,0
1698,1
1715,0
1721,0
1728,0
1738,0
1745,0
1752,0
1753,0
1756,0
1780,0
1795,1
1801,1
1804,0
1808,0
1816,0
1825,1
1826,1
1832,1
1833,0
1844,1
1846,0
1850,1
1855,0
1868,1
1880,1
1881,1
1888,1
1890,0
1911,0
1916,0
1924,1
1939,0
1952,1
1953,1
1963,1
1978,1
1979,0
1983,1
1988,1
1992,0
2001,1
2003,1
2004,0
2008,1
2010,1
2018,1
2040,1
2042,1
2047,1
2051,1
2053,1
2056,1
2062,0
2065,1
2071,1
2072,1
2073,1
2075,1
2080,1
2084,0
2090,1
2096,0
2099,0
2106,1
2111,1
2117,1
2118,1
2126,1
2127,1
2130,1
2134,0
2135,0
2137,1
2141,0
2155,1
2164,0
2165,1
2167,0
2174,1
2176,0
2180,1
2189,1
2197,1
2200,0
2204,0
2218,1
2220,1
2230,1
2242,0
2244,1
2254,1
2260,1
2263,0
2280,1
2284,1
2295,0
2297,0
2309,0
2315,1
2316,1
2328,1
2337,1
2341,0
2353,0
2360,1
2363,0
2369,1
2377,1
2378,1
2387,1
2388,1
2393,1
2400,0
2404,1
2414,1
2415,1
2438,1
2439,1
2441,1
2442,1
2443,1
2445,1
2454,1
2456,0
2457,0
2464,1
2466,1
2471,0
2480,0
2487,1
2495,1
2499,1
2503,1
2504,1
2510,1
2515,1
2517,1
2525,1
2528,1
2530,1
2535,0
2543,1
2547,0
2548,0
2555,1
2560,1
2566,0
2571,1
2574,0
2589,1
2594,1
2613,1
2616,0
2620,1
2625,1
2628,1
2654,0
2657,0
2660,0
2665,1
2670,0
2678,0
2679,0
2681,0
2690,1
2694,1
2699,1
2706,0
2714,1
2715,0
2717,1
2722,0
2729,0
2732,1
2734,0
2735,0
2741,1
2750,1
2752,1
2763,1
2767,0
2775,0
2776,0
2780,1
2784,1
2802,0
2823,1
2828,0
2836,1
2854,1
2872,1
2884,0
2891,0
2901,1
2903,1
2904,1
2906,1
2920,1
2941,0
2966,1
2990,0
2991,0
2992,1
2996,0
3006,0
3019,0
3021,0
3038,1
3040,0
3041,1
3044,0
3060,1
3068,1
3074,1
3075,1
3080,1
3083,0
3090,1
3111,1
3132,0
3137,1
3145,1
3161,1
3162,1
3167,0
3173,0
3181,0
