name,mean,sd
birth_1,4.082290530205e-01,1.916494518518e-01
birth_2,3.996023833752e-01,1.941267549992e-01
death,1.497637480497e-01,1.273360103369e-01
state_rate,5.008366331458e-02,2.640427649021e-02
