taxa,data
3,1
4,1
8,1
10,1
11,1
12,0
13,1
15,1
18,1
21,0
22,1
24,1
25,1
26,0
27,1
29,1
30,1
31,1
33,1
35,1
36,0
38,0
40,0
42,1
43,0
44,1
45,1
46,0
49,1
51,1
52,1
53,0
55,1
56,1
57,0
60,1
61,1
62,0
63,1
66,1
67,0
69,1
71,0
72,1
73,1
74,0
75,1
77,1
78,1
83,0
85,0
86,1
87,0
88,1
89,0
92,0
93,1
94,1
97,1
98,1
101,1
102,0
104,0
105,0
106,1
108,0
109,0
110,0
111,1
112,0
113,1
116,1
118,0
123,1
124,0
126,1
127,1
131,1
135,0
138,1
139,0
140,0
141,1
142,0
143,0
144,1
146,1
147,1
149,1
151,1
157,0
159,1
161,0
163,1
164,0
167,1
168,0
172,0
173,1
177,0
180,0
181,0
182,0
183,0
184,0
186,0
187,1
189,1
191,1
192,1
194,1
196,0
197,0
198,1
199,0
200,0
202,0
203,0
205,1
206,1
210,0
213,0
214,0
221,1
224,0
229,0
233,1
236,0
237,0
238,0
239,0
240,0
242,0
243,0
244,0
246,1
247,0
255,0
256,0
260,1
261,0
262,1
263,1
265,1
269,0
271,0
282,1
283,1
285,1
287,0
289,0
290,0
293,0
297,1
298,1
299,0
302,0
308,1
310,1
313,0
315,0
316,0
318,1
320,0
330,0
335,0
336,0
337,1
343,1
344,0
345,0
346,0
347,0
348,0
353,1
354,0
358,0
359,0
360,0
363,1
364,0
365,0
366,1
368,0
372,1
374,1
375,1
376,1
377,1
378,0
379,0
384,0
385,0
386,1
388,0
390,0
391,0
394,1
398,1
402,0
404,0
405,0
408,0
409,0
413,0
415,1
417,0
418,0
424,1
427,1
429,1
430,1
433,0
434,1
435,1
437,1
440,0
442,1
445,0
448,1
450,0
452,0
454,0
455,1
456,1
459,0
464,1
465,1
467,0
472,0
473,0
475,0
476,0
478,1
479,0
480,1
481,1
482,1
484,0
486,0
488,0
490,1
495,0
496,0
498,0
501,1
503,1
504,0
506,0
508,1
511,0
513,1
514,0
515,0
516,0
517,0
518,1
520,0
521,0
522,1
524,0
525,0
529,0
530,0
531,0
533,1
535,1
536,1
537,1
538,0
540,0
541,1
542,0
543,0
546,0
547,0
549,0
551,0
552,0
553,0
554,0
555,1
556,0
557,0
559,1
560,1
561,1
563,0
567,1
568,1
570,0
571,0
574,0
575,0
577,1
581,0
582,0
587,0
588,0
589,0
593,1
594,1
597,0
598,0
601,0
606,0
608,1
610,1
612,0
615,0
618,0
619,0
621,1
624,0
625,0
627,0
628,0
630,1
635,1
638,1
640,1
641,0
643,0
645,0
646,1
648,0
652,0
654,0
656,0
657,1
658,1
659,0
664,1
665,0
666,0
671,1
673,0
675,0
676,0
678,0
681,0
682,0
684,0
686,0
688,0
689,0
690,0
692,0
695,0
696,0
697,1
702,0
703,0
704,0
706,1
707,0
708,0
709,0
711,0
712,0
714,0
715,0
716,0
721,0
722,0
723,1
726,1
728,0
729,0
732,0
734,0
736,0
737,0
740,1
741,1
742,0
743,0
744,0
747,0
749,0
751,0
753,0
754,0
755,0
758,0
759,0
760,0
763,0
767,0
770,0
772,0
773,1
774,1
775,0
776,0
778,0
779,0
781,0
782,0
784,1
786,0
787,0
789,0
792,1
794,0
795,0
796,0
800,0
801,0
803,0
804,1
808,0
809,1
812,0
813,0
814,0
815,0
819,0
821,0
823,0
825,1
826,1
827,0
829,1
830,0
831,0
832,0
833,0
837,0
846,0
847,0
849,1
850,0
851,0
854,0
855,0
857,0
859,0
860,0
861,0
863,0
868,0
873,0
874,0
876,1
877,0
881,1
882,0
884,0
886,0
888,0
891,0
892,0
899,0
900,0
901,0
902,0
903,0
904,1
905,1
908,0
910,0
912,0
913,0
915,0
916,0
918,0
921,1
930,0
934,0
936,0
939,0
940,0
941,0
942,0
947,0
948,0
953,0
954,0
956,0
958,0
961,0
965,0
967,0
969,0
970,0
971,0
972,0
978,0
979,0
989,0
993,0
994,0
996,0
999,0
1001,0
1003,0
1005,0
1007,0
1008,0
